;Amsterdam;Antwerp;Athens;Barcelona;Berlin;Bern;Brussels;Calais;Cologne;Copenhagen;Edinburgh;Frankfurt;Geneva;Genoa;Hamburg;Le Havre;Lisbon;London;Luxembourg;Lyon;Madrid;Marseille;Milan;Munich;Naples;Nice;Paris;Prague;Rome;Rotterdam;Strasbourg;Stuttgart;The Hague;Turin;Venice;Vienna;Zurich
Lyon;995;821;2774;644;1289;317;671;755;830;1586;1552;640;162;541;1137;692;1784;884;493;;1272;328;494;753;1299;440;481;1116;1066;921;428;667;945;355;789;1217;404
Madrid;1782;1608;3940;628;2527;1541;1562;1542;1776;2597;2372;1906;1386;1574;2409;1376;638;1704;1647;1272;;1143;1730;1877;2332;1313;1268;2307;2099;1708;1700;1891;1732;1520;1955;2617;1664
Marseille;1323;1149;2997;515;1584;598;999;1083;1208;1914;1860;1004;443;431;1465;1020;1781;1192;816;328;1143;;587;1034;1189;227;809;1397;956;1249;814;948;1273;434;812;1414;721
Milan;1154;980;2280;1102;1168;347;934;1057;905;1671;1883;725;412;156;1222;1087;2368;1215;731;494;1730;587;;551;914;360;850;875;681;1080;511;532;1104;139;295;887;305
Munich;875;832;2210;1349;604;436;811;998;592;1204;1743;383;591;707;755;1038;2515;1075;583;753;1877;1034;551;;1202;911;827;363;969;827;371;218;870;691;504;458;313
Naples;2070;1894;2784;1704;1806;1261;1848;1971;1819;2585;2664;1639;1326;758;2136;1991;2970;1996;1645;1299;2332;1189;914;1202;;962;1764;1603;233;1994;1425;1446;2018;934;799;1401;1219
Nice;1435;1261;2570;685;1610;638;1277;1195;1265;2014;2015;1085;483;204;1565;1132;1951;1347;1106;440;1313;227;360;911;962;;921;1294;729;1361;868;892;1385;207;585;1187;665
Paris;515;340;3140;1125;1094;556;294;274;508;1329;1082;592;546;1006;880;211;1786;414;379;481;1268;809;850;827;1764;921;;1094;1531;440;456;621;464;836;1145;1285;557
Prague;973;870;2198;1679;354;766;911;1082;659;1033;1872;552;954;1007;1235;1305;2945;1204;746;1116;2307;1397;875;363;1603;1274;1094;;1370;858;638;773;1028;991;798;312;676
Rome;1835;1660;2551;1471;1573;897;1615;1738;1586;2352;2467;1406;1093;525;1903;1758;2737;1799;1400;1066;2099;856;681;969;233;729;1531;1370;;1761;1192;1213;1785;701;566;1168;986
Rotterdam;80;100;2826;1565;697;802;146;311;254;813;1100;444;940;1236;486;553;2226;432;361;921;1708;1249;1080;827;1994;1361;440;858;1761;;644;676;47;1190;1335;1169;787
Strasbourg;683;544;2581;1072;801;232;488;627;402;1158;1412;212;371;667;709;667;2212;744;220;428;1700;814;511;371;1425;868;456;638;1192;644;;165;668;621;806;829;218
Stuttgart;703;659;2428;1263;636;350;641;792;395;1178;1534;205;505;688;729;832;2377;866;322;667;1891;948;532;218;1446;892;621;773;1213;676;165;;673;642;680;676;227
The Hague;56;139;3061;1589;712;825;170;352;283;960;1142;463;964;510;560;577;2250;473;390;945;1732;1273;1104;870;2018;1385;464;1028;1785;47;668;673;;1167;1399;1193;811
Turin;1264;1090;2250;892;1172;312;1044;1110;1015;1527;1786;835;304;186;1332;1047;2158;1118;860;355;1520;434;139;691;934;207;836;991;701;1190;621;642;1167;;434;1026;444
Venice;1449;1275;1995;1327;1108;642;1229;1352;1072;1708;2146;1020;707;381;1259;1382;2593;1478;1026;789;1955;812;295;504;799;585;1145;798;566;1335;806;680;1399;434;;610;600
Vienna;1196;1180;1886;1989;666;907;1134;1346;915;1345;2098;725;1055;983;896;1496;3255;1233;885;1217;2617;1414;887;458;1401;1187;1285;312;1168;1169;829;676;1193;1026;610;;784
Zurich;861;687;2449;1036;863;123;641;764;612;1378;1631;432;278;641;929;767;2302;963;438;404;1664;721;305;313;1219;665;557;676;986;787;218;227;811;444;600;784;
